Word,Freq
l,2
started,2
PINZON,2
remarks,2
figures,2
transcribing,2
REPORTS,2
opportunity,2
talk,2
G,2
Nuestra,2
Senora,2
occupied,2
exploring,2
spent,2
sound,2
exaggerate,2
stout,2
perceived,2
masts,2
margasita,2
enable,2
affect,2
Pico,2
Maravi,2
Along,2
indications,2
cowardly,2
inclined,2
lee,2
freshness,2
complete,2
hauled,2
furthest,2
mouths,2
resist,2
landing,2
retired,2
arose,2
praised,2
diversified,2
Maici,2
ADVANTAGES,2
delightful,2
benefit,2
bed,2
subject,2
Catholic,2
dug,2
big,2
thatched,2
clothes,2
ancestor,2
bare,2
actually,2
exists,2
blows,2
hardened,2
stern,2
trembling,2
kill,2
sword,2
peculiar,2
Passing,2
source,2
Lindo,2
barely,2
Probably,2
Hayti,2
learnt,2
Estrella,2
Escudo,2
NICHOLAS,2
Nicolas,2
equalled,2
convenient,2
surprising,2
ilex,2
Towards,2
properly,2
Carenero,2
trusting,2
sustain,2
Behind,2
IO,2
intervening,2
flowing,2
Its,2
cable,2
surprised,2
roads,2
According,2
extent,2
sends,2
countrymen,2
Each,2
dace,2
hake,2
chiefly,2
Christ,2
crowd,2
munications,2
She,2
goods,2
eating,2
honoured,2
shoulders,2
skins,2
compared,2
TORTUGA,2
clay,2
mountainous,2
fetch,2
arm,2
INDIAN,2
gentlest,2
entertain,2
Baneqtie,2
highest,2
raise,2
powder,2
thin,2
lbs,2
march,2
taught,2
enclosed,2
Canibales,2
character,2
throw,2
traversed,2
Escobedo,2
mean,2
Jamaica,2
x,2
Annunciation,2
lombards,2
litter,2
dining,2
promptitude,2
watched,2
sorry,2
easy,2
honourably,2
castellanos,2
NEWS,2
respected,2
stopped,2
attendants,2
feeling,2
looks,2
Margot,2
ACUL,2
Acúl,2
date,2
born,2
ajes,2
earthen,2
wills,2
visitors,2
crying,2
invite,2
Between,2
flows,2
contains,2
door,2
friend,2
willingness,2
holds,2
invited,2
concluded,2
grant,2
chiefs,2
sons,2
Caribatan,2
festival,2
K,2
judge,2
noticed,2
loving,2
Tomé,2
tiller,2
entrusted,2
helm,2
Islã,2
Frances,2
aground,2
Her,2
opened,2
arrange,2
wept,2
weeping,2
talking,2
text,2
Cibao,2
dined,2
game,2
shirt,2
gloves,2
bow,2
warned,2
tower,2
obey,2
preparations,2
sowing,2
caulker,2
gunner,2
cooper,2
wave,2
settled,2
treachery,2
saved,2
gained,2
ton,2
conquest,2
building,2
aside,2
couch,2
nephew,2
understanding,2
working,2
Guarionex,2
kings,2
represented,2
root,2
painting,2
business,2
encounter,2
loaded,2
lieutenants,2
Bedchamber,2
Alonzo,2
Osório,2
Antonio,2
Jaen,2
Álvaro,2
Cristoval,2
Garcia,2
Mendoza,2
Avila,2
Gabriel,2
Gonzalo,2
Leon,2
Jorge,2
L,2
grace,2
punishment,2
permission,2
tent,2
navigable,2
Alfaneque,2
Hazard,2
barn,2
Manzanillo,2
Should,2
morro,2
public,2
Even,2
accurate,2
leading,2
pride,2
works,2
OTHER,2
ISLANDS,2
absent,2
miraculously,2
Yaniaye,2
loaf,2
unworthy,2
secure,2
mutinous,2
Santiago,2
thinks,2
Oro,2
venture,2
suggested,2
alluded,2
Coast,2
offence,2
Gracia,2
Belprado,2
Angel,2
monastery,2
Punia,2
exposed,2
Jupiter,2
Theramo,2
stormy,2
World,2
Ciguayos,2
SAM,2
n,2
signed,2
knife,2
M,2
mercy,2
ago,2
Guadaloupe,2
entirely,2
Canary,2
Flechas,2
freshened,2
direct,2
Conil,2
created,2
immense,2
grew,2
